

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Austria",11,"Gross Domestic Product (GDP)",4112,1982,7.1103585384E10,"E","",""
"Austria",11,"Gross Domestic Product (GDP)",4112,1987,1.24E11,"E","",""
"Austria",11,"Gross Domestic Product (GDP)",4112,1992,1.95E11,"E","",""
"Austria",11,"Gross Domestic Product (GDP)",4112,1997,2.12E11,"E","",""
"Austria",11,"Gross Domestic Product (GDP)",4112,2002,2.13E11,"E","",""
"Austria",11,"Gross Domestic Product (GDP)",4112,2007,3.86E11,"E","",""
"Austria",11,"Gross Domestic Product (GDP)",4112,2012,4.07E11,"E","",""
"Austria",11,"Gross Domestic Product (GDP)",4112,2015,3.74E11,"E","",""
"Austria",11,"GDP per capita",4458,1962,1084.0,"E","",""
"Austria",11,"GDP per capita",4458,1967,1565.0,"E","",""
"Austria",11,"GDP per capita",4458,1972,2903.0,"E","",""
"Austria",11,"GDP per capita",4458,1977,6733.0,"E","",""
"Austria",11,"GDP per capita",4458,1982,9353.0,"E","",""
"Austria",11,"GDP per capita",4458,1987,16232.0,"E","",""
"Austria",11,"GDP per capita",4458,1992,24901.0,"E","",""
"Austria",11,"GDP per capita",4458,1997,26391.0,"E","",""
"Austria",11,"GDP per capita",4458,2002,26186.0,"E","",""
"Austria",11,"GDP per capita",4458,2007,46439.0,"E","",""
"Austria",11,"GDP per capita",4458,2012,47781.0,"E","",""
"Austria",11,"GDP per capita",4458,2015,42816.0,"E","",""
"Austria",11,"Human Development Index (HDI) [highest = 1]",4111,1990,0.7935,"E","",""
"Austria",11,"Human Development Index (HDI) [highest = 1]",4111,2000,0.8364,"E","",""
"Austria",11,"Human Development Index (HDI) [highest = 1]",4111,2012,0.8839,"E","",""
"Austria",11,"Human Development Index (HDI) [highest = 1]",4111,2014,0.885,"E","",""
"Austria",11,"Long-term average annual precipitation in depth",4151,1962,1110.0,"E","",""
"Austria",11,"Long-term average annual precipitation in depth",4151,1967,1110.0,"E","",""
"Austria",11,"Long-term average annual precipitation in depth",4151,1972,1110.0,"E","",""
"Austria",11,"Long-term average annual precipitation in depth",4151,1977,1110.0,"E","",""
"Austria",11,"Long-term average annual precipitation in depth",4151,1982,1110.0,"E","",""
"Austria",11,"Long-term average annual precipitation in depth",4151,1987,1110.0,"E","",""
"Austria",11,"Long-term average annual precipitation in depth",4151,1992,1110.0,"E","",""
"Austria",11,"Long-term average annual precipitation in depth",4151,1997,1110.0,"E","",""
"Austria",11,"Long-term average annual precipitation in depth",4151,2002,1110.0,"E","",""
"Austria",11,"Long-term average annual precipitation in depth",4151,2007,1110.0,"E","",""
"Austria",11,"Long-term average annual precipitation in depth",4151,2012,1110.0,"E","",""
"Austria",11,"Long-term average annual precipitation in depth",4151,2017,1110.0,"E","",""
"Austria",11,"Long-term average annual precipitation in volume",4150,1962,93.11,"E","",""
"Austria",11,"Long-term average annual precipitation in volume",4150,1967,93.11,"E","",""
"Austria",11,"Long-term average annual precipitation in volume",4150,1972,93.11,"E","",""
"Austria",11,"Long-term average annual precipitation in volume",4150,1977,93.11,"E","",""
"Austria",11,"Long-term average annual precipitation in volume",4150,1982,93.11,"E","",""
"Austria",11,"Long-term average annual precipitation in volume",4150,1987,93.11,"E","",""
"Austria",11,"Long-term average annual precipitation in volume",4150,1992,93.11,"E","",""
"Austria",11,"Long-term average annual precipitation in volume",4150,1997,93.11,"E","",""
"Austria",11,"Long-term average annual precipitation in volume",4150,2002,93.11,"E","",""
"Austria",11,"Long-term average annual precipitation in volume",4150,2007,93.11,"E","",""
"Austria",11,"Long-term average annual precipitation in volume",4150,2012,93.11,"E","",""
"Austria",11,"Long-term average annual precipitation in volume",4150,2017,93.11,"E","",""
"Austria",11,"Surface water produced internally",4155,1962,55.0,"","",""
"Austria",11,"Surface water produced internally",4155,1967,55.0,"","",""
"Austria",11,"Surface water produced internally",4155,1972,55.0,"","",""
"Austria",11,"Surface water produced internally",4155,1977,55.0,"","",""
"Austria",11,"Surface water produced internally",4155,1982,55.0,"","",""
"Austria",11,"Surface water produced internally",4155,1987,55.0,"","",""
"Austria",11,"Surface water produced internally",4155,1992,55.0,"","",""
"Austria",11,"Surface water produced internally",4155,1997,55.0,"","",""
"Austria",11,"Surface water produced internally",4155,2002,55.0,"","",""
"Austria",11,"Surface water produced internally",4155,2007,55.0,"","",""
"Austria",11,"Surface water produced internally",4155,2012,55.0,"","",""
"Austria",11,"Surface water produced internally",4155,2017,55.0,"","",""
"Austria",11,"Groundwater produced internally",4154,1962,6.0,"","",""
"Austria",11,"Groundwater produced internally",4154,1967,6.0,"","",""
"Austria",11,"Groundwater produced internally",4154,1972,6.0,"","",""
"Austria",11,"Groundwater produced internally",4154,1977,6.0,"","",""
"Austria",11,"Groundwater produced internally",4154,1982,6.0,"","",""
"Austria",11,"Groundwater produced internally",4154,1987,6.0,"","",""
"Austria",11,"Groundwater produced internally",4154,1992,6.0,"","",""
"Austria",11,"Groundwater produced internally",4154,1997,6.0,"","",""
"Austria",11,"Groundwater produced internally",4154,2002,6.0,"","",""
"Austria",11,"Groundwater produced internally",4154,2007,6.0,"","",""
"Austria",11,"Groundwater produced internally",4154,2012,6.0,"","",""
"Austria",11,"Groundwater produced internally",4154,2017,6.0,"","",""
"Austria",11,"Overlap between surface water and groundwater",4156,1962,6.0,"","",""
"Austria",11,"Overlap between surface water and groundwater",4156,1967,6.0,"","",""
"Austria",11,"Overlap between surface water and groundwater",4156,1972,6.0,"","",""
"Austria",11,"Overlap between surface water and groundwater",4156,1977,6.0,"","",""
"Austria",11,"Overlap between surface water and groundwater",4156,1982,6.0,"","",""
"Austria",11,"Overlap between surface water and groundwater",4156,1987,6.0,"","",""
"Austria",11,"Overlap between surface water and groundwater",4156,1992,6.0,"","",""
"Austria",11,"Overlap between surface water and groundwater",4156,1997,6.0,"","",""
"Austria",11,"Overlap between surface water and groundwater",4156,2002,6.0,"","",""
"Austria",11,"Overlap between surface water and groundwater",4156,2007,6.0,"","",""
"Austria",11,"Overlap between surface water and groundwater",4156,2012,6.0,"","",""
"Austria",11,"Overlap between surface water and groundwater",4156,2017,6.0,"","",""
"Austria",11,"Total internal renewable water resources (IRWR)",4157,1962,55.0,"","",""
"Austria",11,"Total internal renewable water resources (IRWR)",4157,1967,55.0,"","",""
"Austria",11,"Total internal renewable water resources (IRWR)",4157,1972,55.0,"","",""
"Austria",11,"Total internal renewable water resources (IRWR)",4157,1977,55.0,"","",""
"Austria",11,"Total internal renewable water resources (IRWR)",4157,1982,55.0,"","",""
"Austria",11,"Total internal renewable water resources (IRWR)",4157,1987,55.0,"","",""
"Austria",11,"Total internal renewable water resources (IRWR)",4157,1992,55.0,"","",""
"Austria",11,"Total internal renewable water resources (IRWR)",4157,1997,55.0,"","",""
"Austria",11,"Total internal renewable water resources (IRWR)",4157,2002,55.0,"","",""
"Austria",11,"Total internal renewable water resources (IRWR)",4157,2007,55.0,"","",""
"Austria",11,"Total internal renewable water resources (IRWR)",4157,2012,55.0,"","",""
"Austria",11,"Total internal renewable water resources (IRWR)",4157,2017,55.0,"","",""
"Austria",11,"Total internal renewable water resources per capita",4158,1962,7685.0,"K","",""
"Austria",11,"Total internal renewable water resources per capita",4158,1967,7435.0,"K","",""
"Austria",11,"Total internal renewable water resources per capita",4158,1972,7255.0,"K","",""
"Austria",11,"Total internal renewable water resources per capita",4158,1977,7202.0,"K","",""
"Austria",11,"Total internal renewable water resources per capita",4158,1982,7235.0,"K","",""
"Austria",11,"Total internal renewable water resources per capita",4158,1987,7200.0,"K","",""
"Austria",11,"Total internal renewable water resources per capita",4158,1992,7023.0,"K","",""
"Austria",11,"Total internal renewable water resources per capita",4158,1997,6847.0,"K","",""
"Austria",11,"Total internal renewable water resources per capita",4158,2002,6762.0,"K","",""
"Austria",11,"Total internal renewable water resources per capita",4158,2007,6617.0,"K","",""
"Austria",11,"Total internal renewable water resources per capita",4158,2012,6457.0,"K","",""
"Austria",11,"Total internal renewable water resources per capita",4158,2017,6297.0,"K","",""
"Austria",11,"Water resources: total external renewable",4182,1962,22.7,"I","",""
"Austria",11,"Water resources: total external renewable",4182,1967,22.7,"I","",""
"Austria",11,"Water resources: total external renewable",4182,1972,22.7,"I","",""
"Austria",11,"Water resources: total external renewable",4182,1977,22.7,"I","",""
"Austria",11,"Water resources: total external renewable",4182,1982,22.7,"I","",""
"Austria",11,"Water resources: total external renewable",4182,1987,22.7,"I","",""
"Austria",11,"Water resources: total external renewable",4182,1992,22.7,"I","",""
"Austria",11,"Water resources: total external renewable",4182,1997,22.7,"I","",""
"Austria",11,"Water resources: total external renewable",4182,2002,22.7,"I","",""
"Austria",11,"Water resources: total external renewable",4182,2007,22.7,"I","",""
"Austria",11,"Water resources: total external renewable",4182,2012,22.7,"I","",""
"Austria",11,"Water resources: total external renewable",4182,2017,22.7,"I","",""
"Austria",11,"Total renewable surface water",4185,1962,77.7,"","",""
"Austria",11,"Total renewable surface water",4185,1967,77.7,"","",""
"Austria",11,"Total renewable surface water",4185,1972,77.7,"","",""
"Austria",11,"Total renewable surface water",4185,1977,77.7,"","",""
"Austria",11,"Total renewable surface water",4185,1982,77.7,"","",""
"Austria",11,"Total renewable surface water",4185,1987,77.7,"","",""
"Austria",11,"Total renewable surface water",4185,1992,77.7,"","",""
"Austria",11,"Total renewable surface water",4185,1997,77.7,"","",""
"Austria",11,"Total renewable surface water",4185,2002,77.7,"","",""
"Austria",11,"Total renewable surface water",4185,2007,77.7,"","",""
"Austria",11,"Total renewable surface water",4185,2012,77.7,"","",""
"Austria",11,"Total renewable surface water",4185,2017,77.7,"","",""
"Austria",11,"Total renewable groundwater",4187,1962,6.0,"I","",""
"Austria",11,"Total renewable groundwater",4187,1967,6.0,"I","",""
"Austria",11,"Total renewable groundwater",4187,1972,6.0,"I","",""
"Austria",11,"Total renewable groundwater",4187,1977,6.0,"I","",""
"Austria",11,"Total renewable groundwater",4187,1982,6.0,"I","",""
"Austria",11,"Total renewable groundwater",4187,1987,6.0,"I","",""
"Austria",11,"Total renewable groundwater",4187,1992,6.0,"I","",""
"Austria",11,"Total renewable groundwater",4187,1997,6.0,"I","",""
"Austria",11,"Total renewable groundwater",4187,2002,6.0,"I","",""
"Austria",11,"Total renewable groundwater",4187,2007,6.0,"I","",""
"Austria",11,"Total renewable groundwater",4187,2012,6.0,"I","",""
"Austria",11,"Total renewable groundwater",4187,2017,6.0,"I","",""
"Austria",11,"Total renewable water resources per capita",4190,1962,10857.0,"K","",""
"Austria",11,"Total renewable water resources per capita",4190,1967,10504.0,"K","",""
"Austria",11,"Total renewable water resources per capita",4190,1972,10249.0,"K","",""
"Austria",11,"Total renewable water resources per capita",4190,1977,10174.0,"K","",""
"Austria",11,"Total renewable water resources per capita",4190,1982,10221.0,"K","",""
"Austria",11,"Total renewable water resources per capita",4190,1987,10171.0,"K","",""
"Austria",11,"Total renewable water resources per capita",4190,1992,9922.0,"K","",""
"Austria",11,"Total renewable water resources per capita",4190,1997,9673.0,"K","",""
"Austria",11,"Total renewable water resources per capita",4190,2002,9552.0,"K","",""
"Austria",11,"Total renewable water resources per capita",4190,2007,9348.0,"K","",""
"Austria",11,"Total renewable water resources per capita",4190,2012,9122.0,"K","",""
"Austria",11,"Total renewable water resources per capita",4190,2017,8895.0,"K","",""
"Austria",11,"Total exploitable water resources",4196,1962,93.0,"","",""
"Austria",11,"Total exploitable water resources",4196,1967,93.0,"","",""
"Austria",11,"Total exploitable water resources",4196,1972,93.0,"","",""
"Austria",11,"Total exploitable water resources",4196,1977,93.0,"","",""
"Austria",11,"Total exploitable water resources",4196,1982,93.0,"","",""
"Austria",11,"Total exploitable water resources",4196,1987,93.0,"","",""
"Austria",11,"Total exploitable water resources",4196,1992,93.0,"","",""
"Austria",11,"Total exploitable water resources",4196,1997,93.0,"","",""
"Austria",11,"Total exploitable water resources",4196,2002,93.0,"","",""
"Austria",11,"Total exploitable water resources",4196,2007,93.0,"","",""
"Austria",11,"Total exploitable water resources",4196,2012,93.0,"","",""
"Austria",11,"Total dam capacity",4197,1960,0.3665,"L","",""
"Austria",11,"Total dam capacity",4197,1965,0.7035,"L","",""
"Austria",11,"Total dam capacity",4197,1970,1.321,"L","",""
"Austria",11,"Total dam capacity",4197,1975,1.54,"L","",""
"Austria",11,"Total dam capacity",4197,1980,1.898,"L","",""
"Austria",11,"Total dam capacity",4197,1985,2.022,"L","",""
"Austria",11,"Total dam capacity",4197,1990,2.128,"L","",""
"Austria",11,"Total dam capacity",4197,1995,2.128,"L","",""
"Austria",11,"Total dam capacity",4197,2000,2.128,"L","",""
"Austria",11,"Total dam capacity",4197,2005,2.128,"L","",""
"Austria",11,"Total dam capacity",4197,2010,2.128,"L","",""
"Austria",11,"Total dam capacity",4197,2015,2.128,"L","",""
"Austria",11,"Dam capacity per capita",4471,1960,51.21,"K","",""
"Austria",11,"Dam capacity per capita",4471,1965,95.11,"K","",""
"Austria",11,"Dam capacity per capita",4471,1970,174.3,"K","",""
"Austria",11,"Dam capacity per capita",4471,1975,201.6,"K","",""
"Austria",11,"Dam capacity per capita",4471,1980,249.7,"K","",""
"Austria",11,"Dam capacity per capita",4471,1985,264.7,"K","",""
"Austria",11,"Dam capacity per capita",4471,1990,271.7,"K","",""
"Austria",11,"Dam capacity per capita",4471,1995,264.9,"K","",""
"Austria",11,"Dam capacity per capita",4471,2000,261.6,"K","",""
"Austria",11,"Dam capacity per capita",4471,2005,256.0,"K","",""
"Austria",11,"Dam capacity per capita",4471,2010,249.8,"K","",""
"Austria",11,"Dam capacity per capita",4471,2015,243.6,"K","",""
"Austria",11,"Agricultural water withdrawal",4250,1980,0.09,"E","",""
"Austria",11,"Agricultural water withdrawal",4250,1985,0.2,"E","",""
"Austria",11,"Agricultural water withdrawal",4250,1990,0.1,"E","",""
"Austria",11,"Agricultural water withdrawal",4250,1997,0.1,"E","",""
"Austria",11,"Agricultural water withdrawal",4250,2002,0.1,"E","",""
"Austria",11,"Agricultural water withdrawal",4250,2010,0.0771,"E","",""
"Austria",11,"Industrial water withdrawal",4252,1980,2.694,"E","",""
"Austria",11,"Industrial water withdrawal",4252,1985,2.671,"E","",""
"Austria",11,"Industrial water withdrawal",4252,1990,3.022,"E","",""
"Austria",11,"Industrial water withdrawal",4252,1997,2.857,"E","",""
"Austria",11,"Industrial water withdrawal",4252,1999,2.899,"E","",""
"Austria",11,"Industrial water withdrawal",4252,2008,2.695,"E","",""
"Austria",11,"Municipal water withdrawal",4251,1980,0.5582,"E","",""
"Austria",11,"Municipal water withdrawal",4251,1985,0.7088,"E","",""
"Austria",11,"Municipal water withdrawal",4251,1990,0.6851,"E","",""
"Austria",11,"Municipal water withdrawal",4251,1997,0.6871,"E","",""
"Austria",11,"Municipal water withdrawal",4251,1999,0.6687,"E","",""
"Austria",11,"Municipal water withdrawal",4251,2010,0.72,"E","",""
"Austria",11,"Total water withdrawal",4253,1980,3.342,"E","",""
"Austria",11,"Total water withdrawal",4253,1985,3.58,"E","",""
"Austria",11,"Total water withdrawal",4253,1990,3.807,"E","",""
"Austria",11,"Total water withdrawal",4253,1997,3.644,"E","",""
"Austria",11,"Total water withdrawal",4253,2002,3.668,"E","",""
"Austria",11,"Total water withdrawal",4253,2010,3.492,"E","",""
"Austria",11,"Total water withdrawal per capita",4257,1980,439.6,"E","",""
"Austria",11,"Total water withdrawal per capita",4257,1985,468.6,"E","",""
"Austria",11,"Total water withdrawal per capita",4257,1990,486.1,"E","",""
"Austria",11,"Total water withdrawal per capita",4257,1997,453.6,"E","",""
"Austria",11,"Total water withdrawal per capita",4257,2002,450.9,"E","",""
"Austria",11,"Total water withdrawal per capita",4257,2010,410.0,"E","",""
"Austria",11,"Environmental Flow Requirements",4549,1962,41.51,"E","",""
"Austria",11,"Environmental Flow Requirements",4549,1967,41.51,"E","",""
"Austria",11,"Environmental Flow Requirements",4549,1972,41.51,"E","",""
"Austria",11,"Environmental Flow Requirements",4549,1977,41.51,"E","",""
"Austria",11,"Environmental Flow Requirements",4549,1982,41.51,"E","",""
"Austria",11,"Environmental Flow Requirements",4549,1987,41.51,"E","",""
"Austria",11,"Environmental Flow Requirements",4549,1992,41.51,"E","",""
"Austria",11,"Environmental Flow Requirements",4549,1997,41.51,"E","",""
"Austria",11,"Environmental Flow Requirements",4549,2002,41.51,"E","",""
"Austria",11,"Environmental Flow Requirements",4549,2007,41.51,"E","",""
"Austria",11,"Environmental Flow Requirements",4549,2012,41.51,"E","",""
"Austria",11,"Environmental Flow Requirements",4549,2017,41.51,"E","",""
"Belgium",255,"Total population",4104,1962,9193.0,"E","",""
"Belgium",255,"Total population",4104,1967,9476.0,"E","",""
"Belgium",255,"Total population",4104,1972,9651.0,"E","",""
"Belgium",255,"Total population",4104,1977,9752.0,"E","",""
"Belgium",255,"Total population",4104,1982,9821.0,"E","",""
"Belgium",255,"Total population",4104,1987,9868.0,"E","",""
"Belgium",255,"Total population",4104,1992,10016.0,"E","",""
"Belgium",255,"Total population",4104,1997,10193.0,"E","",""
"Belgium",255,"Total population",4104,2002,10365.0,"E","",""
"Belgium",255,"Total population",4104,2007,10698.0,"E","",""
"Belgium",255,"Total population",4104,2012,11084.0,"E","",""
"Belgium",255,"Total population",4104,2017,11429.0,"E","",""
"Belgium",255,"Rural population",4105,1962,592.0,"E","",""
"Belgium",255,"Rural population",4105,1967,568.0,"E","",""
"Belgium",255,"Rural population",4105,1972,525.0,"E","",""
"Belgium",255,"Rural population",4105,1977,451.0,"E","",""
"Belgium",255,"Rural population",4105,1982,430.0,"E","",""
"Belgium",255,"Rural population",4105,1987,402.0,"E","",""
"Belgium",255,"Rural population",4105,1992,366.0,"E","",""
"Belgium",255,"Rural population",4105,1997,379.0,"E","",""
"Belgium",255,"Rural population",4105,2002,312.0,"E","",""
"Belgium",255,"Rural population",4105,2007,287.0,"E","",""
"Belgium",255,"Rural population",4105,2012,275.0,"E","",""
"Belgium",255,"Rural population",4105,2017,402.0,"E","",""
"Belgium",255,"Urban population",4106,1962,8601.0,"E","",""
"Belgium",255,"Urban population",4106,1967,8908.0,"E","",""
"Belgium",255,"Urban population",4106,1972,9126.0,"E","",""
"Belgium",255,"Urban population",4106,1977,9301.0,"E","",""
"Belgium",255,"Urban population",4106,1982,9391.0,"E","",""
"Belgium",255,"Urban population",4106,1987,9466.0,"E","",""
"Belgium",255,"Urban population",4106,1992,9650.0,"E","",""
"Belgium",255,"Urban population",4106,1997,9814.0,"E","",""
"Belgium",255,"Urban population",4106,2002,10053.0,"E","",""
"Belgium",255,"Urban population",4106,2007,10411.0,"E","",""
"Belgium",255,"Urban population",4106,2012,10809.0,"E","",""
"Belgium",255,"Urban population",4106,2017,11027.0,"E","",""
"Belgium",255,"Population density",4107,2002,339.5,"E","",""
"Belgium",255,"Population density",4107,2007,350.4,"E","",""
"Belgium",255,"Population density",4107,2012,363.1,"E","",""
"Belgium",255,"Population density",4107,2017,374.4,"E","",""
"Belgium",255,"Gross Domestic Product (GDP)",4112,1962,1.3264015675E10,"E","",""
"Belgium",255,"Gross Domestic Product (GDP)",4112,1967,1.9992040788E10,"E","",""
"Belgium",255,"Gross Domestic Product (GDP)",4112,1972,3.7408626615E10,"E","",""
"Belgium",255,"Gross Domestic Product (GDP)",4112,1977,8.3283407091E10,"E","",""
"Belgium",255,"Gross Domestic Product (GDP)",4112,1982,9.2588982518E10,"E","",""
"Belgium",255,"Gross Domestic Product (GDP)",4112,1987,1.5E11,"E","",""
"Belgium",255,"Gross Domestic Product (GDP)",4112,1992,2.36E11,"E","",""
"Belgium",255,"Gross Domestic Product (GDP)",4112,1997,2.55E11,"E","",""
"Belgium",255,"Gross Domestic Product (GDP)",4112,2002,2.59E11,"E","",""
"Belgium",255,"Gross Domestic Product (GDP)",4112,2007,4.72E11,"E","",""
"Belgium",255,"Gross Domestic Product (GDP)",4112,2012,4.98E11,"E","",""
"Belgium",255,"Gross Domestic Product (GDP)",4112,2015,4.54E11,"E","",""
"Belgium",255,"GDP per capita",4458,1962,1443.0,"E","",""
"Belgium",255,"GDP per capita",4458,1967,2110.0,"E","",""
"Belgium",255,"GDP per capita",4458,1972,3876.0,"E","",""
"Belgium",255,"GDP per capita",4458,1977,8540.0,"E","",""
"Belgium",255,"GDP per capita",4458,1982,9428.0,"E","",""
"Belgium",255,"GDP per capita",4458,1987,15201.0,"E","",""
"Belgium",255,"GDP per capita",4458,1992,23562.0,"E","",""
"Belgium",255,"GDP per capita",4458,1997,25017.0,"E","",""
"Belgium",255,"GDP per capita",4458,2002,24988.0,"E","",""
"Belgium",255,"GDP per capita",4458,2007,44120.0,"E","",""
"Belgium",255,"GDP per capita",4458,2012,44930.0,"E","",""
"Belgium",255,"GDP per capita",4458,2015,39724.0,"E","",""
"Belgium",255,"Human Development Index (HDI) [highest = 1]",4111,1990,0.8064,"E","",""
"Belgium",255,"Human Development Index (HDI) [highest = 1]",4111,2000,0.8738,"E","",""
"Belgium",255,"Human Development Index (HDI) [highest = 1]",4111,2012,0.8886,"E","",""
"Belgium",255,"Human Development Index (HDI) [highest = 1]",4111,2014,0.8903,"E","",""
"Belgium",255,"Long-term average annual precipitation in depth",4151,1962,847.0,"E","",""
"Belgium",255,"Long-term average annual precipitation in depth",4151,1967,847.0,"E","",""
"Belgium",255,"Long-term average annual precipitation in depth",4151,1972,847.0,"E","",""
"Belgium",255,"Long-term average annual precipitation in depth",4151,1977,847.0,"E","",""
"Belgium",255,"Long-term average annual precipitation in depth",4151,1982,847.0,"E","",""
"Belgium",255,"Long-term average annual precipitation in depth",4151,1987,847.0,"E","",""
"Belgium",255,"Long-term average annual precipitation in depth",4151,1992,847.0,"E","",""
"Belgium",255,"Long-term average annual precipitation in depth",4151,1997,847.0,"E","",""
"Belgium",255,"Long-term average annual precipitation in depth",4151,2002,847.0,"E","",""
"Belgium",255,"Long-term average annual precipitation in depth",4151,2007,847.0,"E","",""
"Belgium",255,"Long-term average annual precipitation in depth",4151,2012,847.0,"E","",""
"Belgium",255,"Long-term average annual precipitation in depth",4151,2017,847.0,"E","",""
"Belgium",255,"Long-term average annual precipitation in volume",4150,1962,25.84,"","",""
"Belgium",255,"Long-term average annual precipitation in volume",4150,1967,25.84,"","",""
"Belgium",255,"Long-term average annual precipitation in volume",4150,1972,25.84,"","",""
"Belgium",255,"Long-term average annual precipitation in volume",4150,1977,25.84,"","",""
"Belgium",255,"Long-term average annual precipitation in volume",4150,1982,25.84,"","",""
"Belgium",255,"Long-term average annual precipitation in volume",4150,1987,25.84,"","",""
"Belgium",255,"Long-term average annual precipitation in volume",4150,1992,25.84,"","",""
"Belgium",255,"Long-term average annual precipitation in volume",4150,1997,25.84,"","",""
"Belgium",255,"Long-term average annual precipitation in volume",4150,2002,25.86,"E","",""
"Belgium",255,"Long-term average annual precipitation in volume",4150,2007,25.86,"E","",""
"Belgium",255,"Long-term average annual precipitation in volume",4150,2012,25.86,"E","",""
"Belgium",255,"Long-term average annual precipitation in volume",4150,2017,25.86,"E","",""
"Belgium",255,"Surface water produced internally",4155,1962,12.0,"","",""
"Belgium",255,"Surface water produced internally",4155,1967,12.0,"","",""
"Belgium",255,"Surface water produced internally",4155,1972,12.0,"","",""
"Belgium",255,"Surface water produced internally",4155,1977,12.0,"","",""
"Belgium",255,"Surface water produced internally",4155,1982,12.0,"","",""
"Belgium",255,"Surface water produced internally",4155,1987,12.0,"","",""
"Belgium",255,"Surface water produced internally",4155,1992,12.0,"","",""
"Belgium",255,"Surface water produced internally",4155,1997,12.0,"","",""
"Belgium",255,"Surface water produced internally",4155,2002,12.0,"","",""
"Belgium",255,"Surface water produced internally",4155,2007,12.0,"","",""
"Belgium",255,"Surface water produced internally",4155,2012,12.0,"","",""
"Belgium",255,"Surface water produced internally",4155,2017,12.0,"","",""
"Belgium",255,"Groundwater produced internally",4154,1962,0.9,"","",""
"Belgium",255,"Groundwater produced internally",4154,1967,0.9,"","",""
"Belgium",255,"Groundwater produced internally",4154,1972,0.9,"","",""
"Belgium",255,"Groundwater produced internally",4154,1977,0.9,"","",""
"Belgium",255,"Groundwater produced internally",4154,1982,0.9,"","",""
"Belgium",255,"Groundwater produced internally",4154,1987,0.9,"","",""
"Belgium",255,"Groundwater produced internally",4154,1992,0.9,"","",""
"Belgium",255,"Groundwater produced internally",4154,1997,0.9,"","",""
"Belgium",255,"Groundwater produced internally",4154,2002,0.9,"","",""
"Belgium",255,"Groundwater produced internally",4154,2007,0.9,"","",""
"Belgium",255,"Groundwater produced internally",4154,2012,0.9,"","",""
