"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Belgium","Total population (1000 inhab)",1962,9193.0,"E",,1967,9476.0,"E",,1972,9651.0,"E",,1977,9752.0,"E",,1982,9821.0,"E",,1987,9868.0,"E",,1992,10016.0,"E",,1997,10193.0,"E",,2002,10365.0,"E",,2007,10698.0,"E",,2012,11084.0,"E",,2017,11429.0,"E",
"Belgium","Rural population (1000 inhab)",1962,592.0,"E",,1967,568.0,"E",,1972,525.0,"E",,1977,451.0,"E",,1982,430.0,"E",,1987,402.0,"E",,1992,366.0,"E",,1997,379.0,"E",,2002,312.0,"E",,2007,287.0,"E",,2012,275.0,"E",,2017,402.0,"E",
"Belgium","Urban population (1000 inhab)",1962,8601.0,"E",,1967,8908.0,"E",,1972,9126.0,"E",,1977,9301.0,"E",,1982,9391.0,"E",,1987,9466.0,"E",,1992,9650.0,"E",,1997,9814.0,"E",,2002,10053.0,"E",,2007,10411.0,"E",,2012,10809.0,"E",,2017,11027.0,"E",
"Belgium","Population density (inhab/km2)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,339.5,"E",,2007,350.4,"E",,2012,363.1,"E",,2017,374.4,"E",
"Belgium","Gross Domestic Product (GDP) (current US$)",1962,1.3264015675E10,"E",,1967,1.9992040788E10,"E",,1972,3.7408626615E10,"E",,1977,8.3283407091E10,"E",,1982,9.2588982518E10,"E",,1987,1.5E11,"E",,1992,2.36E11,"E",,1997,2.55E11,"E",,2002,2.59E11,"E",,2007,4.72E11,"E",,2012,4.98E11,"E",,2015,4.54E11,"E",
"Belgium","GDP per capita (current US$/inhab)",1962,1443.0,"E",,1967,2110.0,"E",,1972,3876.0,"E",,1977,8540.0,"E",,1982,9428.0,"E",,1987,15201.0,"E",,1992,23562.0,"E",,1997,25017.0,"E",,2002,24988.0,"E",,2007,44120.0,"E",,2012,44930.0,"E",,2015,39724.0,"E",
"Belgium","Human Development Index (HDI) [highest = 1] (-)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.8064,"E",,,,"",,2000,0.8738,"E",,,,"",,2012,0.8886,"E",,2014,0.8903,"E",
"Belgium","Long-term average annual precipitation in depth (mm/year)",1962,847.0,"E",,1967,847.0,"E",,1972,847.0,"E",,1977,847.0,"E",,1982,847.0,"E",,1987,847.0,"E",,1992,847.0,"E",,1997,847.0,"E",,2002,847.0,"E",,2007,847.0,"E",,2012,847.0,"E",,2017,847.0,"E",
"Belgium","Long-term average annual precipitation in volume (10^9 m3/year)",1962,25.84,"",,1967,25.84,"",,1972,25.84,"",,1977,25.84,"",,1982,25.84,"",,1987,25.84,"",,1992,25.84,"",,1997,25.84,"",,2002,25.86,"E",,2007,25.86,"E",,2012,25.86,"E",,2017,25.86,"E",
"Belgium","Surface water produced internally (10^9 m3/year)",1962,12.0,"",,1967,12.0,"",,1972,12.0,"",,1977,12.0,"",,1982,12.0,"",,1987,12.0,"",,1992,12.0,"",,1997,12.0,"",,2002,12.0,"",,2007,12.0,"",,2012,12.0,"",,2017,12.0,"",
"Belgium","Groundwater produced internally (10^9 m3/year)",1962,0.9,"",,1967,0.9,"",,1972,0.9,"",,1977,0.9,"",,1982,0.9,"",,1987,0.9,"",,1992,0.9,"",,1997,0.9,"",,2002,0.9,"",,2007,0.9,"",,2012,0.9,"",,2017,0.9,"",
"Belgium","Overlap between surface water and groundwater (10^9 m3/year)",1962,0.9,"",,1967,0.9,"",,1972,0.9,"",,1977,0.9,"",,1982,0.9,"",,1987,0.9,"",,1992,0.9,"",,1997,0.9,"",,2002,0.9,"",,2007,0.9,"",,2012,0.9,"",,2017,0.9,"",
"Belgium","Total internal renewable water resources (IRWR) (10^9 m3/year)",1962,12.0,"",,1967,12.0,"",,1972,12.0,"",,1977,12.0,"",,1982,12.0,"",,1987,12.0,"",,1992,12.0,"",,1997,12.0,"",,2002,12.0,"",,2007,12.0,"",,2012,12.0,"",,2017,12.0,"",
"Belgium","Total internal renewable water resources per capita (m3/inhab/year)",1962,1305.0,"K",,1967,1266.0,"K",,1972,1243.0,"K",,1977,1231.0,"K",,1982,1222.0,"K",,1987,1216.0,"K",,1992,1198.0,"K",,1997,1177.0,"K",,2002,1158.0,"K",,2007,1122.0,"K",,2012,1083.0,"K",,2017,1050.0,"K",
"Belgium","Water resources: total external renewable (10^9 m3/year)",1962,6.3,"I",,1967,6.3,"I",,1972,6.3,"I",,1977,6.3,"I",,1982,6.3,"I",,1987,6.3,"I",,1992,6.3,"I",,1997,6.3,"I",,2002,6.3,"I",,2007,6.3,"I",,2012,6.3,"I",,2017,6.3,"I",
"Belgium","Total renewable surface water (10^9 m3/year)",1962,18.3,"I",,1967,18.3,"I",,1972,18.3,"I",,1977,18.3,"I",,1982,18.3,"I",,1987,18.3,"I",,1992,18.3,"I",,1997,18.3,"I",,2002,18.3,"I",,2007,18.3,"I",,2012,18.3,"I",,2017,18.3,"I",
"Belgium","Total renewable groundwater (10^9 m3/year)",1962,0.9,"I",,1967,0.9,"I",,1972,0.9,"I",,1977,0.9,"I",,1982,0.9,"I",,1987,0.9,"I",,1992,0.9,"I",,1997,0.9,"I",,2002,0.9,"I",,2007,0.9,"I",,2012,0.9,"I",,2017,0.9,"I",
"Belgium","Total renewable water resources per capita (m3/inhab/year)",1962,1991.0,"K",,1967,1931.0,"K",,1972,1896.0,"K",,1977,1877.0,"K",,1982,1863.0,"K",,1987,1854.0,"K",,1992,1827.0,"K",,1997,1795.0,"K",,2002,1766.0,"K",,2007,1711.0,"K",,2012,1651.0,"K",,2017,1601.0,"K",
"Belgium","Total exploitable water resources (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Belgium","Total dam capacity (km3)",1960,0.036,"L",,1965,0.036,"L",,1970,0.036,"L",,1975,0.063,"L",,1980,0.1443,"L",,1985,0.1443,"L",,1990,0.1443,"L",,1995,0.1443,"L",,2000,0.1443,"L",,2005,0.1443,"L",,2010,0.1443,"L",,2015,0.1443,"L",
"Belgium","Dam capacity per capita (m3/inhab)",1960,3.916,"K",,1965,3.799,"K",,1970,3.73,"K",,1975,6.46,"K",,1980,14.69,"K",,1985,14.62,"K",,1990,14.41,"K",,1995,14.16,"K",,2000,13.92,"K",,2005,13.49,"K",,2010,13.02,"K",,2015,12.63,"K",
"Belgium","Agricultural water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,1980,0.3612,"",,,,"",,,,"",,1997,0.016,"E",,2002,0.0382,"E",,2007,0.0369,"E",,2009,0.0402,"E",,,,"",
"Belgium","Industrial water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,1980,7.676,"",,,,"",,,,"",,1997,6.8,"E",,2002,5.964,"E",,2007,5.45,"E",,2009,5.256,"E",,,,"",
"Belgium","Municipal water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,1980,0.9933,"",,,,"",,,,"",,1997,0.874,"E",,2002,0.7358,"E",,2007,0.7304,"E",,2009,0.7093,"E",,,,"",
"Belgium","Total water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,1980,9.03,"",,,,"",,,,"",,1997,7.69,"E",,2002,6.738,"E",,2007,6.217,"E",,2009,6.005,"E",,,,"",
"Belgium","Total water withdrawal per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,1980,919.5,"K",,,,"",,,,"",,1997,754.4,"E",,2002,650.1,"E",,2007,581.1,"E",,2009,541.8,"E",,,,"",
"Belgium","Environmental Flow Requirements (10^9 m3/year)",1962,10.16,"E",,1967,10.16,"E",,1972,10.16,"E",,1977,10.16,"E",,1982,10.16,"E",,1987,10.16,"E",,1992,10.16,"E",,1997,10.16,"E",,2002,10.16,"E",,2007,10.16,"E",,2012,10.16,"E",,2017,10.16,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bosnia and Herzegovina","Total population (1000 inhab)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,4239.0,"E",,1997,3752.0,"E",,2002,3776.0,"E",,2007,3774.0,"E",,2012,3648.0,"E",,2017,3507.0,"E",
"Bosnia and Herzegovina","Rural population (1000 inhab)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,2604.0,"E",,1997,2360.0,"E",,2002,2246.0,"E",,2007,2259.0,"E",,2012,2138.0,"E",,2017,1979.0,"E",
"Bosnia and Herzegovina","Urban population (1000 inhab)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,1635.0,"E",,1997,1392.0,"E",,2002,1530.0,"E",,2007,1515.0,"E",,2012,1510.0,"E",,2017,1528.0,"E",
"Bosnia and Herzegovina","Population density (inhab/km2)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,82.78,"E",,1997,73.27,"E",,2002,73.74,"E",,2007,73.7,"E",,2012,71.24,"E",,2017,68.48,"E",
"Bosnia and Herzegovina","Gross Domestic Product (GDP) (current US$)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,3.671816504E9,"E",,2002,6.651226179E9,"E",,2007,1.5776422673E10,"E",,2012,1.7207367626E10,"E",,2015,1.5995392118E10,"E",
"Bosnia and Herzegovina","GDP per capita (current US$/inhab)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,978.6,"E",,2002,1761.0,"E",,2007,4180.0,"E",,2012,4717.0,"E",,2015,4561.0,"E",
"Bosnia and Herzegovina","Human Development Index (HDI) [highest = 1] (-)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2012,0.7257,"E",,2014,0.7325,"E",
"Bosnia and Herzegovina","Long-term average annual precipitation in depth (mm/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,1028.0,"E",,1997,1028.0,"E",,2002,1028.0,"E",,2007,1028.0,"E",,2012,1028.0,"E",,2017,1028.0,"E",
"Bosnia and Herzegovina","Long-term average annual precipitation in volume (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,52.64,"E",,1997,52.64,"E",,2002,52.64,"E",,2007,52.64,"E",,2012,52.64,"E",,2017,52.64,"E",
"Bosnia and Herzegovina","Surface water produced internally (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,34.34,"I",,1997,34.34,"I",,2002,34.34,"I",,2007,34.34,"I",,2012,34.34,"I",,2017,34.34,"I",
"Bosnia and Herzegovina","Groundwater produced internally (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,11.57,"E",,1997,11.57,"E",,2002,11.57,"E",,2007,11.57,"E",,2012,11.57,"E",,2017,11.57,"E",
"Bosnia and Herzegovina","Overlap between surface water and groundwater (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,10.41,"I",,1997,10.41,"I",,2002,10.41,"I",,2007,10.41,"I",,2012,10.41,"I",,2017,10.41,"I",
"Bosnia and Herzegovina","Total internal renewable water resources (IRWR) (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,35.5,"K",,1997,35.5,"K",,2002,35.5,"K",,2007,35.5,"K",,2012,35.5,"K",,2017,35.5,"K",
"Bosnia and Herzegovina","Total internal renewable water resources per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,8375.0,"K",,1997,9462.0,"K",,2002,9401.0,"K",,2007,9406.0,"K",,2012,9731.0,"K",,2017,10123.0,"K",
"Bosnia and Herzegovina","Water resources: total external renewable (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,2.0,"I",,1997,2.0,"I",,2002,2.0,"I",,2007,2.0,"I",,2012,2.0,"I",,2017,2.0,"I",
"Bosnia and Herzegovina","Total renewable surface water (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,36.34,"I",,1997,36.34,"I",,2002,36.34,"I",,2007,36.34,"I",,2012,36.34,"I",,2017,36.34,"I",
"Bosnia and Herzegovina","Total renewable groundwater (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,11.57,"K",,1997,11.57,"K",,2002,11.57,"K",,2007,11.57,"K",,2012,11.57,"K",,2017,11.57,"K",
"Bosnia and Herzegovina","Total renewable water resources per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,8846.0,"K",,1997,9995.0,"K",,2002,9931.0,"K",,2007,9936.0,"K",,2012,10280.0,"K",,2017,10693.0,"K",
"Bosnia and Herzegovina","Total exploitable water resources (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Bosnia and Herzegovina","Total dam capacity (km3)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,2.912,"L",,2000,2.912,"L",,2005,2.912,"L",,2010,2.912,"L",,2015,2.912,"L",
"Bosnia and Herzegovina","Dam capacity per capita (m3/inhab)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1995,776.1,"K",,2000,771.2,"K",,2005,771.6,"K",,2010,798.2,"K",,2015,830.3,"K",
"Bosnia and Herzegovina","Agricultural water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Bosnia and Herzegovina","Industrial water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2008,0.0488,"E",,,,"",
"Bosnia and Herzegovina","Municipal water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,0.3218,"E",,,,"",,,,"",,2016,0.3262,"",
"Bosnia and Herzegovina","Total water withdrawal (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2005,0.3341,"E",,2012,0.329,"",,2013,0.3279,"E",
"Bosnia and Herzegovina","Total water withdrawal per capita (m3/inhab/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2005,88.53,"E",,2012,90.19,"K",,2013,93.5,"E",
"Bosnia and Herzegovina","Environmental Flow Requirements (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,22.44,"E",,1997,22.44,"E",,2002,22.44,"E",,2007,22.44,"E",,2012,22.44,"E",,2017,22.44,"E",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Bulgaria","Total population (1000 inhab)",1962,8022.0,"E",,1967,8343.0,"E",,1972,8609.0,"E",,1977,8802.0,"E",,1982,8931.0,"E",,1987,8960.0,"E",,1992,8676.0,"E",,1997,8212.0,"E",,2002,7866.0,"E",,2007,7567.0,"E",,2012,7310.0,"E",,2017,7085.0,"E",
"Bulgaria","Rural population (1000 inhab)",1962,4781.0,"E",,1967,4304.0,"E",,1972,3931.0,"E",,1977,3578.0,"E",,1982,3304.0,"E",,1987,3116.0,"E",,1992,2873.0,"E",,1997,2617.0,"E",,2002,2394.0,"E",,2007,2176.0,"E",,2012,1999.0,"E",,2017,1864.0,"E",
"Bulgaria","Urban population (1000 inhab)",1962,3241.0,"E",,1967,4039.0,"E",,1972,4678.0,"E",,1977,5224.0,"E",,1982,5627.0,"E",,1987,5844.0,"E",,1992,5803.0,"E",,1997,5595.0,"E",,2002,5472.0,"E",,2007,5391.0,"E",,2012,5311.0,"E",,2017,5221.0,"E",
"Bulgaria","Population density (inhab/km2)",1962,72.28,"E",,1967,75.17,"E",,1972,77.57,"E",,1977,79.3,"E",,1982,80.47,"E",,1987,80.73,"E",,1992,78.17,"E",,1997,73.99,"E",,2002,70.87,"E",,2007,68.17,"E",,2012,65.86,"E",,2017,63.83,"E",
"Bulgaria","Gross Domestic Product (GDP) (current US$)",,,"",,,,"",,,,"",,,,"",,1982,1.9804095112E10,"E",,1987,2.8429027976E10,"E",,1992,1.0350515464E10,"E",,1997,1.1195630537E10,"E",,2002,1.6360346654E10,"E",,2007,4.476573338E10,"E",,2012,5.3576670828E10,"E",,2015,4.895295908E10,"E",
"Bulgaria","GDP per capita (current US$/inhab)",,,"",,,,"",,,,"",,,,"",,1982,2217.0,"E",,1987,3173.0,"E",,1992,1193.0,"E",,1997,1363.0,"E",,2002,2080.0,"E",,2007,5916.0,"E",,2012,7329.0,"E",,2015,6909.0,"E",
"Bulgaria","Human Development Index (HDI) [highest = 1] (-)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1990,0.6947,"E",,,,"",,2000,0.7132,"E",,,,"",,2012,0.7781,"E",,2014,0.7817,"E",
"Bulgaria","Long-term average annual precipitation in depth (mm/year)",1962,608.0,"E",,1967,608.0,"E",,1972,608.0,"E",,1977,608.0,"E",,1982,608.0,"E",,1987,608.0,"E",,1992,608.0,"E",,1997,608.0,"E",,2002,608.0,"E",,2007,608.0,"E",,2012,608.0,"E",,2017,608.0,"E",
"Bulgaria","Long-term average annual precipitation in volume (10^9 m3/year)",1962,67.48,"E",,1967,67.48,"E",,1972,67.48,"E",,1977,67.48,"E",,1982,67.48,"E",,1987,67.48,"E",,1992,67.48,"E",,1997,67.48,"E",,2002,67.48,"E",,2007,67.49,"E",,2012,67.49,"E",,2017,67.49,"E",
"Bulgaria","Surface water produced internally (10^9 m3/year)",1962,20.1,"",,1967,20.1,"",,1972,20.1,"",,1977,20.1,"",,1982,20.1,"",,1987,20.1,"",,1992,20.1,"",,1997,20.1,"",,2002,20.1,"",,2007,20.1,"",,2012,20.1,"",,2017,20.1,"",
"Bulgaria","Groundwater produced internally (10^9 m3/year)",1962,6.4,"",,1967,6.4,"",,1972,6.4,"",,1977,6.4,"",,1982,6.4,"",,1987,6.4,"",,1992,6.4,"",,1997,6.4,"",,2002,6.4,"",,2007,6.4,"",,2012,6.4,"",,2017,6.4,"",
"Bulgaria","Overlap between surface water and groundwater (10^9 m3/year)",1962,5.5,"",,1967,5.5,"",,1972,5.5,"",,1977,5.5,"",,1982,5.5,"",,1987,5.5,"",,1992,5.5,"",,1997,5.5,"",,2002,5.5,"",,2007,5.5,"",,2012,5.5,"",,2017,5.5,"",
"Bulgaria","Total internal renewable water resources (IRWR) (10^9 m3/year)",1962,21.0,"",,1967,21.0,"",,1972,21.0,"",,1977,21.0,"",,1982,21.0,"",,1987,21.0,"",,1992,21.0,"",,1997,21.0,"",,2002,21.0,"",,2007,21.0,"",,2012,21.0,"",,2017,21.0,"",
