"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Total area of the country (excl. coastal waters) (1000 ha)","Azerbaijan",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,8660.0,"E",,1997,8660.0,"E",,2002,8660.0,"E",,2007,8660.0,"E",,2012,8660.0,"E",,2016,8660.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Bahamas",1962,1388.0,"E",,1967,1388.0,"E",,1972,1388.0,"E",,1977,1388.0,"E",,1982,1388.0,"E",,1987,1388.0,"E",,1992,1388.0,"E",,1997,1388.0,"E",,2002,1388.0,"E",,2007,1388.0,"E",,2012,1388.0,"E",,2016,1388.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Bahrain",1962,69.0,"E",,1967,69.0,"E",,1972,69.0,"E",,1977,69.0,"E",,1982,69.0,"E",,1987,69.0,"E",,1992,71.0,"E",,1997,71.0,"E",,2002,71.0,"E",,2007,75.0,"E",,2012,77.0,"E",,2016,77.8,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Bangladesh",1962,14846.0,"E",,1967,14846.0,"E",,1972,14846.0,"E",,1977,14846.0,"E",,1982,14846.0,"E",,1987,14846.0,"E",,1992,14846.0,"E",,1997,14846.0,"E",,2002,14846.0,"E",,2007,14846.0,"E",,2012,14846.0,"E",,2016,14763.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Barbados",1962,43.0,"E",,1967,43.0,"E",,1972,43.0,"E",,1977,43.0,"E",,1982,43.0,"E",,1987,43.0,"E",,1992,43.0,"E",,1997,43.0,"E",,2002,43.0,"E",,2007,43.0,"E",,2012,43.0,"E",,2016,43.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Belarus",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,20760.0,"E",,1997,20760.0,"E",,2002,20760.0,"E",,2007,20760.0,"E",,2012,20760.0,"E",,2016,20760.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Belgium",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,2002,3053.0,"E",,2007,3053.0,"E",,2012,3053.0,"E",,2016,3053.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Belize",1962,2297.0,"E",,1967,2297.0,"E",,1972,2297.0,"E",,1977,2297.0,"E",,1982,2297.0,"E",,1987,2297.0,"E",,1992,2297.0,"E",,1997,2297.0,"E",,2002,2297.0,"E",,2007,2297.0,"E",,2012,2297.0,"E",,2016,2297.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Benin",1962,11476.0,"E",,1967,11476.0,"E",,1972,11476.0,"E",,1977,11476.0,"E",,1982,11476.0,"E",,1987,11476.0,"E",,1992,11476.0,"E",,1997,11476.0,"E",,2002,11476.0,"E",,2007,11476.0,"E",,2012,11476.0,"E",,2016,11476.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Bhutan",1962,4700.0,"E",,1967,4700.0,"E",,1972,4700.0,"E",,1977,4700.0,"E",,1982,4700.0,"E",,1987,4700.0,"E",,1992,4700.0,"E",,1997,4008.0,"E",,2002,4008.0,"E",,2007,3839.0,"E",,2012,3839.0,"E",,2016,3839.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Bolivia (Plurinational State of)",1962,109858.0,"E",,1967,109858.0,"E",,1972,109858.0,"E",,1977,109858.0,"E",,1982,109858.0,"E",,1987,109858.0,"E",,1992,109858.0,"E",,1997,109858.0,"E",,2002,109858.0,"E",,2007,109858.0,"E",,2012,109858.0,"E",,2016,109858.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Bosnia and Herzegovina",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,5121.0,"E",,1997,5121.0,"E",,2002,5121.0,"E",,2007,5121.0,"E",,2012,5121.0,"E",,2016,5121.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Botswana",1962,58173.0,"E",,1967,58173.0,"E",,1972,58173.0,"E",,1977,58173.0,"E",,1982,58173.0,"E",,1987,58173.0,"E",,1992,58173.0,"E",,1997,58173.0,"E",,2002,58173.0,"E",,2007,58173.0,"E",,2012,58173.0,"E",,2016,58173.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Brazil",1962,851577.0,"E",,1967,851577.0,"E",,1972,851577.0,"E",,1977,851577.0,"E",,1982,851577.0,"E",,1987,851577.0,"E",,1992,851577.0,"E",,1997,851577.0,"E",,2002,851577.0,"E",,2007,851577.0,"E",,2012,851577.0,"E",,2016,851577.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Brunei Darussalam",1962,577.0,"E",,1967,577.0,"E",,1972,577.0,"E",,1977,577.0,"E",,1982,577.0,"E",,1987,577.0,"E",,1992,577.0,"E",,1997,577.0,"E",,2002,577.0,"E",,2007,577.0,"E",,2012,577.0,"E",,2016,577.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Bulgaria",1962,11099.0,"E",,1967,11099.0,"E",,1972,11099.0,"E",,1977,11099.0,"E",,1982,11099.0,"E",,1987,11099.0,"E",,1992,11099.0,"E",,1997,11099.0,"E",,2002,11099.0,"E",,2007,11100.0,"E",,2012,11100.0,"E",,2016,11100.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Burkina Faso",1962,27422.0,"E",,1967,27422.0,"E",,1972,27422.0,"E",,1977,27422.0,"E",,1982,27422.0,"E",,1987,27422.0,"E",,1992,27422.0,"E",,1997,27422.0,"E",,2002,27422.0,"E",,2007,27422.0,"E",,2012,27422.0,"E",,2016,27422.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Burundi",1962,2783.0,"E",,1967,2783.0,"E",,1972,2783.0,"E",,1977,2783.0,"E",,1982,2783.0,"E",,1987,2783.0,"E",,1992,2783.0,"E",,1997,2783.0,"E",,2002,2783.0,"E",,2007,2783.0,"E",,2012,2783.0,"E",,2016,2783.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Cabo Verde",1962,403.0,"E",,1967,403.0,"E",,1972,403.0,"E",,1977,403.0,"E",,1982,403.0,"E",,1987,403.0,"E",,1992,403.0,"E",,1997,403.0,"E",,2002,403.0,"E",,2007,403.0,"E",,2012,403.0,"E",,2016,403.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Cambodia",1962,18104.0,"E",,1967,18104.0,"E",,1972,18104.0,"E",,1977,18104.0,"E",,1982,18104.0,"E",,1987,18104.0,"E",,1992,18104.0,"E",,1997,18104.0,"E",,2002,18104.0,"E",,2007,18104.0,"E",,2012,18104.0,"E",,2016,18104.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Cameroon",1962,47544.0,"E",,1967,47544.0,"E",,1972,47544.0,"E",,1977,47544.0,"E",,1982,47544.0,"E",,1987,47544.0,"E",,1992,47544.0,"E",,1997,47544.0,"E",,2002,47544.0,"E",,2007,47544.0,"E",,2012,47544.0,"E",,2016,47544.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Canada",1962,998467.0,"E",,1967,998467.0,"E",,1972,998467.0,"E",,1977,998467.0,"E",,1982,998467.0,"E",,1987,998467.0,"E",,1992,998467.0,"E",,1997,998467.0,"E",,2002,998467.0,"E",,2007,998467.0,"E",,2012,998467.0,"E",,2016,998467.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Central African Republic",1962,62298.0,"E",,1967,62298.0,"E",,1972,62298.0,"E",,1977,62298.0,"E",,1982,62298.0,"E",,1987,62298.0,"E",,1992,62298.0,"E",,1997,62298.0,"E",,2002,62298.0,"E",,2007,62298.0,"E",,2012,62298.0,"E",,2016,62298.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Chad",1962,128400.0,"E",,1967,128400.0,"E",,1972,128400.0,"E",,1977,128400.0,"E",,1982,128400.0,"E",,1987,128400.0,"E",,1992,128400.0,"E",,1997,128400.0,"E",,2002,128400.0,"E",,2007,128400.0,"E",,2012,128400.0,"E",,2016,128400.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Chile",1962,75610.0,"E",,1967,75610.0,"E",,1972,75610.0,"E",,1977,75610.0,"E",,1982,75610.0,"E",,1987,75610.0,"E",,1992,75610.0,"E",,1997,75610.0,"E",,2002,75610.0,"E",,2007,75610.0,"E",,2012,75610.0,"E",,2016,75670.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","China",1962,960000.0,"E",,1967,960000.0,"E",,1972,960000.0,"E",,1977,960000.0,"E",,1982,960000.0,"E",,1987,960000.0,"E",,1992,960000.0,"E",,1997,960000.0,"E",,2002,960000.0,"E",,2007,960000.0,"E",,2012,960000.0,"E",,2016,960001.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Colombia",1962,114175.0,"E",,1967,114175.0,"E",,1972,114175.0,"E",,1977,114175.0,"E",,1982,114175.0,"E",,1987,114175.0,"E",,1992,114175.0,"E",,1997,114175.0,"E",,2002,114175.0,"E",,2007,114175.0,"E",,2012,114175.0,"E",,2016,114175.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Comoros",1962,186.1,"E",,1967,186.1,"E",,1972,186.1,"E",,1977,186.1,"E",,1982,186.1,"E",,1987,186.1,"E",,1992,186.1,"E",,1997,186.1,"E",,2002,186.1,"E",,2007,186.1,"E",,2012,186.1,"E",,2016,186.1,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Congo",1962,34200.0,"E",,1967,34200.0,"E",,1972,34200.0,"E",,1977,34200.0,"E",,1982,34200.0,"E",,1987,34200.0,"E",,1992,34200.0,"E",,1997,34200.0,"E",,2002,34200.0,"E",,2007,34200.0,"E",,2012,34200.0,"E",,2016,34200.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Cook Islands",1962,24.0,"E",,1967,24.0,"E",,1972,24.0,"E",,1977,24.0,"E",,1982,24.0,"E",,1987,24.0,"E",,1992,24.0,"E",,1997,24.0,"E",,2002,24.0,"E",,2007,24.0,"E",,2012,24.0,"E",,2016,24.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Costa Rica",1962,5110.0,"E",,1967,5110.0,"E",,1972,5110.0,"E",,1977,5110.0,"E",,1982,5110.0,"E",,1987,5110.0,"E",,1992,5110.0,"E",,1997,5110.0,"E",,2002,5110.0,"E",,2007,5110.0,"E",,2012,5110.0,"E",,2016,5110.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Côte d'Ivoire",1962,32246.0,"E",,1967,32246.0,"E",,1972,32246.0,"E",,1977,32246.0,"E",,1982,32246.0,"E",,1987,32246.0,"E",,1992,32246.0,"E",,1997,32246.0,"E",,2002,32246.0,"E",,2007,32246.0,"E",,2012,32246.0,"E",,2016,32246.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Croatia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,5654.0,"E",,1997,5661.0,"E",,2002,5654.0,"E",,2007,5659.0,"E",,2012,5659.0,"E",,2016,5659.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Cuba",1962,10989.0,"E",,1967,10989.0,"E",,1972,10989.0,"E",,1977,10989.0,"E",,1982,10989.0,"E",,1987,10989.0,"E",,1992,10989.0,"E",,1997,10989.0,"E",,2002,10989.0,"E",,2007,10989.0,"E",,2012,10988.0,"E",,2016,10988.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Cyprus",1962,925.0,"E",,1967,925.0,"E",,1972,925.0,"E",,1977,925.0,"E",,1982,925.0,"E",,1987,925.0,"E",,1992,925.0,"E",,1997,925.0,"E",,2002,925.0,"E",,2007,925.0,"E",,2012,925.0,"E",,2016,925.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Czechia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,7887.0,"E",,2002,7887.0,"E",,2007,7887.0,"E",,2012,7887.0,"E",,2016,7887.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Democratic People's Republic of Korea",1962,12054.0,"E",,1967,12054.0,"E",,1972,12054.0,"E",,1977,12054.0,"E",,1982,12054.0,"E",,1987,12054.0,"E",,1992,12054.0,"E",,1997,12054.0,"E",,2002,12054.0,"E",,2007,12054.0,"E",,2012,12054.0,"E",,2016,12054.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Democratic Republic of the Congo",1962,234486.0,"E",,1967,234486.0,"E",,1972,234486.0,"E",,1977,234486.0,"E",,1982,234486.0,"E",,1987,234486.0,"E",,1992,234486.0,"E",,1997,234486.0,"E",,2002,234486.0,"E",,2007,234486.0,"E",,2012,234486.0,"E",,2016,234486.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Denmark",1962,4309.0,"E",,1967,4309.0,"E",,1972,4309.0,"E",,1977,4309.0,"E",,1982,4309.0,"E",,1987,4309.0,"E",,1992,4309.0,"E",,1997,4309.0,"E",,2002,4309.0,"E",,2007,4309.0,"E",,2012,4292.0,"E",,2016,4292.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Djibouti",1962,2320.0,"E",,1967,2320.0,"E",,1972,2320.0,"E",,1977,2320.0,"E",,1982,2320.0,"E",,1987,2320.0,"E",,1992,2320.0,"E",,1997,2320.0,"E",,2002,2320.0,"E",,2007,2320.0,"E",,2012,2320.0,"E",,2016,2320.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Dominica",1962,75.0,"E",,1967,75.0,"E",,1972,75.0,"E",,1977,75.0,"E",,1982,75.0,"E",,1987,75.0,"E",,1992,75.0,"E",,1997,75.0,"E",,2002,75.0,"E",,2007,75.0,"E",,2012,75.0,"E",,2016,75.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Dominican Republic",1962,4867.0,"E",,1967,4867.0,"E",,1972,4867.0,"E",,1977,4867.0,"E",,1982,4867.0,"E",,1987,4867.0,"E",,1992,4867.0,"E",,1997,4867.0,"E",,2002,4867.0,"E",,2007,4867.0,"E",,2012,4867.0,"E",,2016,4867.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Ecuador",1962,28356.0,"E",,1967,28356.0,"E",,1972,28356.0,"E",,1977,28356.0,"E",,1982,28356.0,"E",,1987,28356.0,"E",,1992,28356.0,"E",,1997,28356.0,"E",,2002,25637.0,"E",,2007,25637.0,"E",,2012,25637.0,"E",,2016,25637.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Egypt",1962,100145.0,"E",,1967,100145.0,"E",,1972,100145.0,"E",,1977,100145.0,"E",,1982,100145.0,"E",,1987,100145.0,"E",,1992,100145.0,"E",,1997,100145.0,"E",,2002,100145.0,"E",,2007,100145.0,"E",,2012,100145.0,"E",,2016,100145.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","El Salvador",1962,2104.0,"E",,1967,2104.0,"E",,1972,2104.0,"E",,1977,2104.0,"E",,1982,2104.0,"E",,1987,2104.0,"E",,1992,2104.0,"E",,1997,2104.0,"E",,2002,2104.0,"E",,2007,2104.0,"E",,2012,2104.0,"E",,2016,2104.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Equatorial Guinea",1962,2805.0,"E",,1967,2805.0,"E",,1972,2805.0,"E",,1977,2805.0,"E",,1982,2805.0,"E",,1987,2805.0,"E",,1992,2805.0,"E",,1997,2805.0,"E",,2002,2805.0,"E",,2007,2805.0,"E",,2012,2805.0,"E",,2016,2805.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Eritrea",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,11760.0,"E",,2002,11760.0,"E",,2007,11760.0,"E",,2012,11760.0,"E",,2016,11760.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Estonia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,4523.0,"E",,1997,4523.0,"E",,2002,4523.0,"E",,2007,4523.0,"E",,2012,4523.0,"E",,2016,4534.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Eswatini",1962,1736.0,"E",,1967,1736.0,"E",,1972,1736.0,"E",,1977,1736.0,"E",,1982,1736.0,"E",,1987,1736.0,"E",,1992,1736.0,"E",,1997,1736.0,"E",,2002,1736.0,"E",,2007,1736.0,"E",,2012,1736.0,"E",,2016,1736.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Ethiopia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,110430.0,"E",,2002,110430.0,"E",,2007,110430.0,"E",,2012,110430.0,"E",,2016,110430.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Faroe Islands",1962,139.6,"E",,1967,139.6,"E",,1972,139.6,"E",,1977,139.6,"E",,1982,139.6,"E",,1987,139.6,"E",,1992,139.6,"E",,1997,139.6,"E",,2002,139.6,"E",,2007,139.6,"E",,2012,139.6,"E",,2016,139.6,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Fiji",1962,1827.0,"E",,1967,1827.0,"E",,1972,1827.0,"E",,1977,1827.0,"E",,1982,1827.0,"E",,1987,1827.0,"E",,1992,1827.0,"E",,1997,1827.0,"E",,2002,1827.0,"E",,2007,1827.0,"E",,2012,1827.0,"E",,2016,1827.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Finland",1962,33815.0,"E",,1967,33815.0,"E",,1972,33815.0,"E",,1977,33815.0,"E",,1982,33815.0,"E",,1987,33815.0,"E",,1992,33815.0,"E",,1997,33815.0,"E",,2002,33815.0,"E",,2007,33842.0,"E",,2012,33842.0,"E",,2016,33845.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","France",1962,54909.0,"E",,1967,54909.0,"E",,1972,54909.0,"E",,1977,54909.0,"E",,1982,54909.0,"E",,1987,54909.0,"E",,1992,54909.0,"E",,1997,54909.0,"E",,2002,54909.0,"E",,2007,54909.0,"E",,2012,54909.0,"E",,2016,54909.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Gabon",1962,26767.0,"E",,1967,26767.0,"E",,1972,26767.0,"E",,1977,26767.0,"E",,1982,26767.0,"E",,1987,26767.0,"E",,1992,26767.0,"E",,1997,26767.0,"E",,2002,26767.0,"E",,2007,26767.0,"E",,2012,26767.0,"E",,2016,26767.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Gambia",1962,1130.0,"E",,1967,1130.0,"E",,1972,1130.0,"E",,1977,1130.0,"E",,1982,1130.0,"E",,1987,1130.0,"E",,1992,1130.0,"E",,1997,1130.0,"E",,2002,1130.0,"E",,2007,1130.0,"E",,2012,1130.0,"E",,2016,1130.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Georgia",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1992,6970.0,"E",,1997,6970.0,"E",,2002,6970.0,"E",,2007,6970.0,"E",,2012,6970.0,"E",,2016,6970.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Germany",1962,35697.0,"E",,1967,35697.0,"E",,1972,35697.0,"E",,1977,35697.0,"E",,1982,35697.0,"E",,1987,35697.0,"E",,1992,35697.0,"E",,1997,35703.0,"E",,2002,35704.0,"E",,2007,35710.0,"E",,2012,35717.0,"E",,2016,35758.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Ghana",1962,23854.0,"E",,1967,23854.0,"E",,1972,23854.0,"E",,1977,23854.0,"E",,1982,23854.0,"E",,1987,23854.0,"E",,1992,23854.0,"E",,1997,23854.0,"E",,2002,23854.0,"E",,2007,23854.0,"E",,2012,23854.0,"E",,2016,23854.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Greece",1962,13196.0,"E",,1967,13196.0,"E",,1972,13196.0,"E",,1977,13196.0,"E",,1982,13196.0,"E",,1987,13196.0,"E",,1992,13196.0,"E",,1997,13196.0,"E",,2002,13196.0,"E",,2007,13196.0,"E",,2012,13196.0,"E",,2016,13196.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Grenada",1962,34.0,"E",,1967,34.0,"E",,1972,34.0,"E",,1977,34.0,"E",,1982,34.0,"E",,1987,34.0,"E",,1992,34.0,"E",,1997,34.0,"E",,2002,34.0,"E",,2007,34.0,"E",,2012,34.0,"E",,2016,34.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Guatemala",1962,10889.0,"E",,1967,10889.0,"E",,1972,10889.0,"E",,1977,10889.0,"E",,1982,10889.0,"E",,1987,10889.0,"E",,1992,10889.0,"E",,1997,10889.0,"E",,2002,10889.0,"E",,2007,10889.0,"E",,2012,10889.0,"E",,2016,10889.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Guinea",1962,24586.0,"E",,1967,24586.0,"E",,1972,24586.0,"E",,1977,24586.0,"E",,1982,24586.0,"E",,1987,24586.0,"E",,1992,24586.0,"E",,1997,24586.0,"E",,2002,24586.0,"E",,2007,24586.0,"E",,2012,24586.0,"E",,2016,24586.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Guinea-Bissau",1962,3613.0,"E",,1967,3613.0,"E",,1972,3613.0,"E",,1977,3613.0,"E",,1982,3613.0,"E",,1987,3613.0,"E",,1992,3613.0,"E",,1997,3613.0,"E",,2002,3613.0,"E",,2007,3613.0,"E",,2012,3613.0,"E",,2016,3613.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Guyana",1962,21497.0,"E",,1967,21497.0,"E",,1972,21497.0,"E",,1977,21497.0,"E",,1982,21497.0,"E",,1987,21497.0,"E",,1992,21497.0,"E",,1997,21497.0,"E",,2002,21497.0,"E",,2007,21497.0,"E",,2012,21497.0,"E",,2016,21497.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Haiti",1962,2775.0,"E",,1967,2775.0,"E",,1972,2775.0,"E",,1977,2775.0,"E",,1982,2775.0,"E",,1987,2775.0,"E",,1992,2775.0,"E",,1997,2775.0,"E",,2002,2775.0,"E",,2007,2775.0,"E",,2012,2775.0,"E",,2016,2775.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Holy See",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",
"Total area of the country (excl. coastal waters) (1000 ha)","Honduras",1962,11249.0,"E",,1967,11249.0,"E",,1972,11249.0,"E",,1977,11249.0,"E",,1982,11249.0,"E",,1987,11249.0,"E",,1992,11249.0,"E",,1997,11249.0,"E",,2002,11249.0,"E",,2007,11249.0,"E",,2012,11249.0,"E",,2016,11249.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Hungary",1962,9303.0,"E",,1967,9303.0,"E",,1972,9303.0,"E",,1977,9303.0,"E",,1982,9303.0,"E",,1987,9303.0,"E",,1992,9303.0,"E",,1997,9303.0,"E",,2002,9303.0,"E",,2007,9303.0,"E",,2012,9303.0,"E",,2016,9303.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Iceland",1962,10300.0,"E",,1967,10300.0,"E",,1972,10300.0,"E",,1977,10300.0,"E",,1982,10300.0,"E",,1987,10300.0,"E",,1992,10300.0,"E",,1997,10300.0,"E",,2002,10300.0,"E",,2007,10300.0,"E",,2012,10300.0,"E",,2016,10300.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","India",1962,328726.0,"E",,1967,328726.0,"E",,1972,328726.0,"E",,1977,328726.0,"E",,1982,328726.0,"E",,1987,328726.0,"E",,1992,328726.0,"E",,1997,328726.0,"E",,2002,328726.0,"E",,2007,328726.0,"E",,2012,328726.0,"E",,2016,328726.0,"E",
"Total area of the country (excl. coastal waters) (1000 ha)","Indonesia",1962,191093.0,"E",,1967,191093.0,"E",,1972,191093.0,"E",,1977,191093.0,"E",,1982,191093.0,"E",,1987,191093.0,"E",,1992,191093.0,"E",,1997,191093.0,"E",,2002,191093.0,"E",,2007,191093.0,"E",,2012,191093.0,"E",,2016,191358.0,"E",
